location,location_name,type,quantile,horizon,value,target_end_date,forecast_date,target,submission_date
GM,Germany,quantile,0.01,1,34838,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.025,1,34982,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.05,1,35259,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.1,1,35862,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.15,1,36425,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.2,1,36950,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.25,1,37483,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.3,1,37960,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.35,1,38542,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.4,1,39030,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.45,1,39484,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.5,1,40094,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.55,1,40697,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.6,1,41348,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.65,1,42014,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.7,1,42636,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.75,1,43350,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.8,1,44008,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.85,1,44702,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.9,1,45359,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.95,1,46129,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.975,1,46635,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.99,1,46887,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,point,,1,40094,2020-10-17,2020-10-12,1 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.01,2,55569,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.025,2,56116,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.05,2,56860,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.1,2,58320,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.15,2,59954,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.2,2,61780,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.25,2,63589,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.3,2,65120,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.35,2,66877,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.4,2,68912,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.45,2,70993,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.5,2,73128,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.55,2,75464,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.6,2,78413,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.65,2,81039,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.7,2,83517,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.75,2,86259,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.8,2,89401,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.85,2,92230,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.9,2,95453,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.95,2,99007,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.975,2,101397,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.99,2,102580,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,point,,2,73128,2020-10-24,2020-10-12,2 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.01,3,88739,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.025,3,89673,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.05,3,91668,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.1,3,95140,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.15,3,98309,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.2,3,102608,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.25,3,107085,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.3,3,112031,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.35,3,116521,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.4,3,121441,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.45,3,126434,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.5,3,132674,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.55,3,140140,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.6,3,147841,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.65,3,155282,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.7,3,162100,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.75,3,171773,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.8,3,180500,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.85,3,190588,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.9,3,206465,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.95,3,219448,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.975,3,227098,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.99,3,231651,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,point,,3,132674,2020-10-31,2020-10-12,3 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.01,4,139268,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.025,4,141355,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.05,4,145198,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.1,4,153872,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.15,4,162792,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.2,4,173470,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.25,4,183000,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.3,4,192095,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.35,4,203287,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.4,4,214956,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.45,4,228672,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.5,4,246730,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.55,4,263126,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.6,4,281955,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
GM,Germany,quantile,0.65,4,300640,2020-11-07,2020-10-12,4 wk ahead inc case,2020-10-12
