region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2020-12-21,2361,30,,,,,,,,,
Baden-Wurttemberg,2020-12-22,2245,132,,,,,,,,,
Baden-Wurttemberg,2020-12-23,2998,166,,,,,,,,,
Baden-Wurttemberg,2020-12-24,4390,64,,,,,,,,,
Baden-Wurttemberg,2020-12-25,3500,42,,,,,,,,,
Baden-Wurttemberg,2020-12-26,1951,27,,,,,,,,,
Baden-Wurttemberg,2020-12-27,1588,38,,,,,,,,,
Baden-Wurttemberg,2020-12-28,1136,48,,,,,,,,,
Baden-Wurttemberg,2020-12-29,1657,101,,,,,,,,,
Baden-Wurttemberg,2020-12-30,2812,108,,,,,,,,,
Baden-Wurttemberg,2020-12-31,3495,94,,,,,,,,,
Baden-Wurttemberg,2021-01-01,2895,51,,,,,,,,,
Baden-Wurttemberg,2021-01-02,1856,54,,,,,,,,,
Baden-Wurttemberg,2021-01-03,1170,31,,,,,,,,,
Baden-Wurttemberg,2021-01-04,1016,22,,,,,,,,,
Baden-Wurttemberg,2021-01-05,1510,105,,,,,,,,,
Baden-Wurttemberg,2021-01-06,2957,128,,,,,,,,,
Baden-Wurttemberg,2021-01-07,1278,27,,,,,,,,,
Baden-Wurttemberg,2021-01-08,3977,130,,,,,,,,,
Baden-Wurttemberg,2021-01-09,2751,127,,,,,,,,,
Baden-Wurttemberg,2021-01-10,2598,66,,,,,,,,,
Baden-Wurttemberg,2021-01-11,1486,45,,,,,,,,,
Baden-Wurttemberg,2021-01-12,1022,90,,,,,,,,,
Baden-Wurttemberg,2021-01-13,2226,93,,,,,,,,,
Baden-Wurttemberg,2021-01-14,2979,116,,,,,,,,,
Baden-Wurttemberg,2021-01-15,2322,104,,,,,,,,,
Baden-Wurttemberg,2021-01-16,1940,72,,,,,,,,,
Baden-Wurttemberg,2021-01-17,820,21,,,,,,,,,
Baden-Wurttemberg,2021-01-18,2033,40,,,,,,,,,
Baden-Wurttemberg,2021-01-19,613,108,,,,,,,,,
Baden-Wurttemberg,2021-01-20,1684,105,,,,,,,,,
Baden-Wurttemberg,2021-01-21,2353,95,,,,,,,,,
Baden-Wurttemberg,2021-01-22,1914,95,,,,,,,,,
Baden-Wurttemberg,2021-01-23,1527,71,,,,,,,,,
Baden-Wurttemberg,2021-01-24,1487,33,,,,,,,,,
Baden-Wurttemberg,2021-01-25,734,15,,,,,,,,,
Baden-Wurttemberg,2021-01-26,474,95,,,,,,,,,
Baden-Wurttemberg,2021-01-27,1343,75,,,,,,,,,
Baden-Wurttemberg,2021-01-28,1860,68,,,,,,,,,
Baden-Wurttemberg,2021-01-29,1639,85,,,,,,,,,
Baden-Wurttemberg,2021-01-30,1361,57,,,,,,,,,
Baden-Wurttemberg,2021-01-31,1298,26,,,,,,,,,
