location,location_name,epiweek,value,target_end_date
GM,Germany,1,5918,2021-01-09
GM,Germany,2,6096,2021-01-16
GM,Germany,3,5547,2021-01-23
GM,Germany,4,5025,2021-01-30
GM,Germany,7,0,2020-02-15
GM,Germany,8,0,2020-02-22
GM,Germany,9,0,2020-02-29
GM,Germany,10,0,2020-03-07
GM,Germany,11,8,2020-03-14
GM,Germany,12,39,2020-03-21
GM,Germany,13,278,2020-03-28
GM,Germany,14,833,2020-04-04
GM,Germany,15,1386,2020-04-11
GM,Germany,16,1566,2020-04-18
GM,Germany,17,1390,2020-04-25
GM,Germany,18,1075,2020-05-02
GM,Germany,19,794,2020-05-09
GM,Germany,20,512,2020-05-16
GM,Germany,21,335,2020-05-23
GM,Germany,22,273,2020-05-30
GM,Germany,23,157,2020-06-06
GM,Germany,24,135,2020-06-13
GM,Germany,25,102,2020-06-20
GM,Germany,26,71,2020-06-27
GM,Germany,27,56,2020-07-04
GM,Germany,28,50,2020-07-11
GM,Germany,29,23,2020-07-18
GM,Germany,30,35,2020-07-25
GM,Germany,31,30,2020-08-01
GM,Germany,32,47,2020-08-08
GM,Germany,33,36,2020-08-15
GM,Germany,34,36,2020-08-22
GM,Germany,35,22,2020-08-29
GM,Germany,36,35,2020-09-05
GM,Germany,37,23,2020-09-12
GM,Germany,38,37,2020-09-19
GM,Germany,39,68,2020-09-26
GM,Germany,40,75,2020-10-03
GM,Germany,41,77,2020-10-10
GM,Germany,42,163,2020-10-17
GM,Germany,43,236,2020-10-24
GM,Germany,44,449,2020-10-31
GM,Germany,45,774,2020-11-07
GM,Germany,46,1152,2020-11-14
GM,Germany,47,1506,2020-11-21
GM,Germany,48,2081,2020-11-28
GM,Germany,49,2552,2020-12-05
GM,Germany,50,2949,2020-12-12
GM,Germany,51,4174,2020-12-19
GM,Germany,52,3782,2020-12-26
GM,Germany,53,4538,2021-01-02
PL,Poland,1,1617,2021-01-09
PL,Poland,2,2264,2021-01-16
PL,Poland,3,2062,2021-01-23
PL,Poland,4,1872,2021-01-30
PL,Poland,10,0,2020-03-07
PL,Poland,11,2,2020-03-14
PL,Poland,12,3,2020-03-21
PL,Poland,13,11,2020-03-28
PL,Poland,14,55,2020-04-04
PL,Poland,15,110,2020-04-11
PL,Poland,16,151,2020-04-18
PL,Poland,17,161,2020-04-25
PL,Poland,18,157,2020-05-02
PL,Poland,19,125,2020-05-09
PL,Poland,20,132,2020-05-16
PL,Poland,21,75,2020-05-23
PL,Poland,22,69,2020-05-30
PL,Poland,23,86,2020-06-06
PL,Poland,24,85,2020-06-13
PL,Poland,25,112,2020-06-20
PL,Poland,26,95,2020-06-27
PL,Poland,27,78,2020-07-04
PL,Poland,28,55,2020-07-11
PL,Poland,29,49,2020-07-18
PL,Poland,30,44,2020-07-25
PL,Poland,31,61,2020-08-01
PL,Poland,32,71,2020-08-08
PL,Poland,33,71,2020-08-15
PL,Poland,34,80,2020-08-22
PL,Poland,35,80,2020-08-29
PL,Poland,36,82,2020-09-05
PL,Poland,37,68,2020-09-12
PL,Poland,38,101,2020-09-19
PL,Poland,39,122,2020-09-26
PL,Poland,40,178,2020-10-03
PL,Poland,41,350,2020-10-10
PL,Poland,42,521,2020-10-17
PL,Poland,43,732,2020-10-24
PL,Poland,44,1179,2020-10-31
PL,Poland,45,1935,2020-11-07
PL,Poland,46,2211,2020-11-14
PL,Poland,47,3217,2020-11-21
PL,Poland,48,3433,2020-11-28
PL,Poland,49,3212,2020-12-05
PL,Poland,50,2815,2020-12-12
PL,Poland,51,2597,2020-12-19
PL,Poland,52,2221,2020-12-26
PL,Poland,53,1959,2021-01-02
