location,location_name,epiweek,value,target_end_date
GM,Germany,7,0,2020-02-15
GM,Germany,8,0,2020-02-22
GM,Germany,9,0,2020-02-29
GM,Germany,10,0,2020-03-07
GM,Germany,11,8,2020-03-14
GM,Germany,12,47,2020-03-21
GM,Germany,13,325,2020-03-28
GM,Germany,14,1158,2020-04-04
GM,Germany,15,2544,2020-04-11
GM,Germany,16,4110,2020-04-18
GM,Germany,17,5500,2020-04-25
GM,Germany,18,6575,2020-05-02
GM,Germany,19,7369,2020-05-09
GM,Germany,20,7881,2020-05-16
GM,Germany,21,8216,2020-05-23
GM,Germany,22,8489,2020-05-30
GM,Germany,23,8646,2020-06-06
GM,Germany,24,8781,2020-06-13
GM,Germany,25,8883,2020-06-20
GM,Germany,26,8954,2020-06-27
GM,Germany,27,9010,2020-07-04
GM,Germany,28,9060,2020-07-11
GM,Germany,29,9083,2020-07-18
GM,Germany,30,9118,2020-07-25
GM,Germany,31,9148,2020-08-01
GM,Germany,32,9195,2020-08-08
GM,Germany,33,9231,2020-08-15
GM,Germany,34,9267,2020-08-22
GM,Germany,35,9289,2020-08-29
GM,Germany,36,9324,2020-09-05
GM,Germany,37,9347,2020-09-12
GM,Germany,38,9384,2020-09-19
GM,Germany,39,9452,2020-09-26
GM,Germany,40,9527,2020-10-03
GM,Germany,41,9604,2020-10-10
GM,Germany,42,9767,2020-10-17
GM,Germany,43,10003,2020-10-24
GM,Germany,44,10452,2020-10-31
GM,Germany,45,11226,2020-11-07
GM,Germany,46,12378,2020-11-14
GM,Germany,47,13884,2020-11-21
GM,Germany,48,15965,2020-11-28
GM,Germany,49,18517,2020-12-05
GM,Germany,50,21466,2020-12-12
GM,Germany,51,25640,2020-12-19
GM,Germany,52,29422,2020-12-26
GM,Germany,53,33960,2021-01-02
PL,Poland,10,0,2020-03-07
PL,Poland,11,2,2020-03-14
PL,Poland,12,5,2020-03-21
PL,Poland,13,16,2020-03-28
PL,Poland,14,71,2020-04-04
PL,Poland,15,181,2020-04-11
PL,Poland,16,332,2020-04-18
PL,Poland,17,493,2020-04-25
PL,Poland,18,650,2020-05-02
PL,Poland,19,775,2020-05-09
PL,Poland,20,907,2020-05-16
PL,Poland,21,982,2020-05-23
PL,Poland,22,1051,2020-05-30
PL,Poland,23,1137,2020-06-06
PL,Poland,24,1222,2020-06-13
PL,Poland,25,1334,2020-06-20
PL,Poland,26,1429,2020-06-27
PL,Poland,27,1507,2020-07-04
PL,Poland,28,1562,2020-07-11
PL,Poland,29,1611,2020-07-18
PL,Poland,30,1655,2020-07-25
PL,Poland,31,1716,2020-08-01
PL,Poland,32,1787,2020-08-08
PL,Poland,33,1858,2020-08-15
PL,Poland,34,1938,2020-08-22
PL,Poland,35,2018,2020-08-29
PL,Poland,36,2100,2020-09-05
PL,Poland,37,2168,2020-09-12
PL,Poland,38,2269,2020-09-19
PL,Poland,39,2391,2020-09-26
PL,Poland,40,2569,2020-10-03
PL,Poland,41,2919,2020-10-10
PL,Poland,42,3440,2020-10-17
PL,Poland,43,4172,2020-10-24
PL,Poland,44,5351,2020-10-31
PL,Poland,45,7286,2020-11-07
PL,Poland,46,9497,2020-11-14
PL,Poland,47,12714,2020-11-21
PL,Poland,48,16147,2020-11-28
PL,Poland,49,19359,2020-12-05
PL,Poland,50,22174,2020-12-12
PL,Poland,51,24771,2020-12-19
PL,Poland,52,26992,2020-12-26
PL,Poland,53,28551,2021-01-01
