location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name,submission_date,horizon
GM,Germany,quantile,0.01,1401.99,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.025,1470.925,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.05,1531,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.1,1595,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.15,1640,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.2,1677,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.25,1707,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.3,1735,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.35,1759,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.4,1786.6,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.45,1808,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.5,1832,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.55,1854,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.6,1875.4,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.65,1901,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.7,1927,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.75,1954,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
GM,Germany,quantile,0.8,1989,2020-12-05,2020-11-30,1 wk ahead inc death,EpiNow2_secondary,2020-11-30,1
